word,tfidf
виновный,0.8051285151982078
глаз,0.7868388285597048
попасть,0.6533424329629915
бог,0.6433639907455362
влюбить,0.6359873624646681
имя,0.6307810919657193
каяться,0.5625035175824321
весь,0.5296540119756037
знать,0.5104239517992202
человек,0.508987734610754
апокалипсис,0.5066016147617247
точка,0.5016093076971067
небо,0.4975570333223576
сшить,0.45173389082696164
тень,0.4375328267215775
пустота,0.4363098805962996
город,0.4191442982776247
суета,0.41425783411028905
деталь,0.40503545897085214
смерть,0.4042426765701341
говорить,0.40322442355532034
сторона,0.39777610730424906
переход,0.3947147756881422
гулять,0.38579833490717436
сердце,0.3843562836920646
луна,0.3818769655387857
согласие,0.3770649490675134
молчаливый,0.3770649490675134
пропадать,0.37670496809996173
плоть,0.3762995941894735
вечный,0.36457719729017135
каждый,0.36377555208006046
жить,0.35983110404887714
опора,0.35559613003266893
андрей,0.3507241948350402
дьявол,0.34717325054644466
виноватый,0.3438560040468157
темный,0.3383441146577847
твой,0.33063537308611934
обратный,0.32649801011104845
пока,0.3253081750710606
любовь,0.32431147809957517
пылать,0.3208425844274332
трупный,0.3192743315871652
синод,0.3192743315871652
сказать,0.3186884255465567
наш,0.316570842354704
трансгрессивный,0.3160251927785261
ангел,0.3072717850119143
место,0.3060141604903379
свеча,0.3032482483595719
бич,0.3027203831279123
цветок,0.30040698939217864
слово,0.29976002578914124
гореть,0.29921066282068315
зависеть,0.2940611888029897
коса,0.29375137145948704
свет,0.2920773975600412
свой,0.29195223361859574
вянуть,0.29136871287910304
звезда,0.287386629379482
клятва,0.28574636117776514
дверь,0.28574636117776514
лес,0.2823474995515746
идти,0.280218390879451
искать,0.2769049464637903
ребенок,0.27635641978204756
взрослый,0.2729505933443073
аист,0.2729505933443073
очередь,0.2690058698483714
скорбеть,0.2648803352369233
похвала,0.2648803352369233
ничто,0.2616697523966315
старый,0.2591816633253268
удар,0.257864433252851
судьба,0.2574049359367686
закат,0.25624794625340974
ночь,0.2560416335976388
обернуться,0.25452082302551937
нота,0.2544259645835826
упор,0.25205623929864285
райский,0.24696754190688164
печаль,0.24603418580952346
всякий,0.24493938997350145
вернуться,0.24412628293948835
поводок,0.24410464825539271
невозможный,0.24361889200054035
алый,0.24073254577197364
дурка,0.23812196764813764
буква,0.23808664480393094
жизнь,0.23713181027531283
живой,0.23706408668844597
моча,0.23706408668844597
автоматный,0.23706408668844597
прочно,0.23706408668844597
брут,0.23524895104239177
вообще,0.23524895104239177
точно,0.23524895104239177
бывать,0.23524895104239177
суетиться,0.23524895104239177
подруга,0.23524895104239177
увы,0.23524895104239177
холодный,0.23481266130583592
лед,0.2345009124408003
высокий,0.233848751445173
распороть,0.233848751445173
атроп,0.233848751445173
свисать,0.233848751445173
утроба,0.233848751445173
слышать,0.23340702632924776
облако,0.23330166453212253
скрывать,0.23144883369762978
летать,0.23144883369762978
край,0.23144883369762978
вырезать,0.23144883369762978
христос,0.23107877051259282
ворота,0.22958166700362104
рваться,0.22949454316208023
кровь,0.2270402873459342
водоворот,0.2265539511371658
перейти,0.2265539511371658
домой,0.2265539511371658
свершить,0.2265539511371658
чертовый,0.2265539511371658
чертог,0.2265539511371658
врата,0.2265539511371658
ядро,0.2258859455752115
сечь,0.22586694541348082
тоненькою,0.22586694541348082
шире,0.22586694541348082
сохатый,0.22586694541348082
игла,0.22586694541348082
наверняка,0.22586694541348082
пора,0.22565452672070246
земля,0.22500239915343806
год,0.22106914075093473
родные,0.21836047467544586
непонятный,0.21836047467544586
уносить,0.21836047467544586
учиться,0.21836047467544586
обратно,0.21836047467544586
приходиться,0.21836047467544586
срываться,0.2156586499786177
завеса,0.21546568518143622
наотрез,0.21546568518143622
уходить,0.21546568518143622
отказывать,0.21546568518143622
бросать,0.21546568518143622
дымовой,0.21546568518143622
туша,0.21444691746765548
цепь,0.21422704683176208
пялиться,0.21410089880167416
лопата,0.21284955439144349
семь,0.21284955439144349
кладбище,0.21284955439144349
пепелище,0.21284955439144349
слать,0.21284955439144349
потолок,0.21218898170531905
пасть,0.20980326646722525
ждать,0.20717635160456074
день,0.2048916328801155
время,0.20156387531911493
песня,0.19910748446726462
меч,0.19709365308133547
таки,0.1960126473035042
чуять,0.19280772344916608
рука,0.19114044820595105
зло,0.1904975741185101
окурок,0.1904975741185101
пес,0.1904975741185101
сливаться,0.1904975741185101
видно,0.1904975741185101
добро,0.1904975741185101
скорбь,0.18834921314781825
стать,0.18466050796561906
острый,0.18416527258387028
литься,0.18289339896949489
наоборот,0.18281862959121306
тянуть,0.17866099206090777
мир,0.17857969360490186
пятьдесят,0.1764367132817938
хотеть,0.17638694672595331
голова,0.1759115123487691
зубастый,0.1746980825526928
мочь,0.16951781527653229
стоять,0.16864053956150635
покинуть,0.16846622821378682
ряд,0.16797862330531682
рождение,0.1637703560065844
дождь,0.1637703560065844
никак,0.1615207039815642
изнанка,0.1611797492394162
круг,0.15929093457350296
скалиться,0.15587741992668452
зверея,0.15587741992668452
грей,0.15587741992668452
начинаться,0.15587741992668452
поздно,0.15587741992668452
опускаться,0.15587741992668452
вгрызаться,0.15587741992668452
колесо,0.15570681957724397
крест,0.15505692070919885
игра,0.1526644255418649
поэтому,0.15227039062712538
заливать,0.15136019156395614
махать,0.15136019156395614
ритм,0.15136019156395614
рассекать,0.15136019156395614
плеть,0.15136019156395614
прибыть,0.15136019156395614
найти,0.14985398834410435
смотреть,0.14943088683153738
гвоздь,0.1481090998500353
просто,0.14612482018801143
понять,0.14370023588520725
бояться,0.14353677269721457
горесть,0.14287318058888257
